"","Year","Area","Street","Street 2"
"129",2011,"Birmingham","Moseley Rd.",""
"130",2011,"Birmingham","Moseley Rd.",""
"131",2011,"Birmingham","Moseley Rd.",""
"132",2011,"Birmingham","Moseley Rd.",""
"133",2011,"Birmingham","Moseley Village",""
"134",2011,"Birmingham","Moseley Village",""
"135",2011,"Birmingham","Moseley Village  Alcester Rd.",""
"136",2011,"Birmingham","Mosley All Services Club  Church Rd.",""
"137",2011,"Birmingham","Nearlands Close Quinton",""
"138",2011,"Birmingham","New Str.",""
"139",2011,"Birmingham","Northfield High Str.",""
"140",2011,"Birmingham","O S Behans  Highfield Rd.",""
"141",2011,"Birmingham","O S The Junction  Mosley Village",""
"142",2011,"Birmingham","O S Washwood Heath Rd.",""
"143",2011,"Birmingham","Oakhill Rd.",""
"144",2011,"Birmingham","Opp White Hart Ln.",""
"145",2011,"Birmingham","Opposite  Aldi  Str.",""
"146",2011,"Birmingham","Outside Java Lounge Alcester Rd.",""
"147",2011,"Birmingham","Outside O2 Academy Night Club B Ham City Centre",""
"148",2011,"Birmingham","Outside Raven Public House",""
"149",2011,"Birmingham","Packington Ave.",""
"150",2011,"Birmingham","Park Off Hob Moor Rd.",""
"151",2011,"Birmingham","Parkhall Croft",""
"152",2011,"Birmingham","Pear Tree Ph",""
"153",2011,"Birmingham","Police Str.",""
"154",2011,"Birmingham","Police Str.",""
"155",2011,"Birmingham","Poplar Rd.",""
"156",2011,"Birmingham","Poplar Rd.",""
"157",2011,"Birmingham","Poplar Rd.",""
"158",2011,"Birmingham","Poplar Rd.",""
"159",2011,"Birmingham","Preston Rd.",""
"160",2011,"Birmingham","Priory Rd.",""
"161",2011,"Birmingham","Prospect Rd.",""
"162",2011,"Birmingham","Queenswood Rd.",""
"163",2011,"Birmingham","Rear Of Boots  High Str.",""
"164",2011,"Birmingham","Reddings Ln.",""
"165",2011,"Birmingham","Richmond Primary Care Centre  Richmond Rd.",""
"166",2011,"Birmingham","Ring Rd.",""
"167",2011,"Birmingham","Sainsburys  Wawrick Rd.",""
"168",2011,"Birmingham","Sainsburys  Alcester Rd.",""
"169",2011,"Birmingham","Sandford Rd.",""
"170",2011,"Birmingham","Sarehole Mill",""
"171",2011,"Birmingham","Sedgemere Rd.",""
"172",2011,"Birmingham","Shirley Rd.",""
"173",2011,"Birmingham","Shirley Rd.",""
"174",2011,"Birmingham","Snow Hill",""
"175",2011,"Birmingham","Solihull Ln.",""
"176",2011,"Birmingham","Str.",""
"177",2011,"Birmingham","Str.",""
"178",2011,"Birmingham","Str.",""
"179",2011,"Birmingham","Str.",""
"180",2011,"Birmingham","Str.",""
"181",2011,"Birmingham","Str.",""
"182",2011,"Birmingham","Str.",""
"183",2011,"Birmingham","Str.",""
"184",2011,"Birmingham","Str.",""
"185",2011,"Birmingham","Str.",""
"186",2011,"Birmingham","Str.",""
"187",2011,"Birmingham","Str.",""
"188",2011,"Birmingham","Str.",""
"189",2011,"Birmingham","Str.",""
"190",2011,"Birmingham","Str.",""
"191",2011,"Birmingham","Str.",""
"192",2011,"Birmingham","Str.",""
"193",2011,"Birmingham","Str.",""
"194",2011,"Birmingham","Talbort Str.",""
"195",2011,"Birmingham","Taunton Rd.",""
"196",2011,"Birmingham","Tavistock Rd.",""
"197",2011,"Birmingham","The Ave.",""
"198",2011,"Birmingham","The Paer Tree Pub",""
"199",2011,"Birmingham","Trafalger Rd.",""
"200",2011,"Birmingham","Wake Green Rd.",""
"201",2011,"Birmingham","Ward End Rd.",""
"202",2011,"Birmingham","Warwick Rd.",""
"203",2011,"Birmingham","Warwick Rd.",""
"204",2011,"Birmingham","Warwick Rd.",""
"205",2011,"Birmingham","Warwick Rd.",""
"206",2011,"Birmingham","Warwick Rd.",""
"207",2011,"Birmingham","Warwick Rd.",""
"208",2011,"Birmingham","Wash Ln.",""
"209",2011,"Birmingham","Washford Heath Rd.",""
"210",2011,"Birmingham","Washwood Heath Pub",""
"211",2011,"Birmingham","Washwood Heath Rd  Washwood Heath  Bham",""
"212",2011,"Birmingham","Washwood Heath Rd.",""
"213",2011,"Birmingham","Washwood Heath Rd.",""
"214",2011,"Birmingham","Washwood Heath Rd.",""
"215",2011,"Birmingham","Washwood Heath Rd.",""
"216",2011,"Birmingham","Watery Ln.",""
"217",2011,"Birmingham","Wawrick Rd.",""
"218",2011,"Birmingham","Welshfarm Rd.",""
"219",2011,"Birmingham","Westley Rd.",""
"220",2011,"Birmingham","Westley Rd.",""
"221",2011,"Birmingham","White Hart Public House",""
"222",2011,"Birmingham","White Hart Public House",""
"223",2011,"Birmingham","Whiteheart Pub  Gressell Ln.",""
"224",2011,"Birmingham","William Hill Bookmakers  Washwood Heath Rd.",""
"225",2011,"Birmingham","William Hill Bookmakers  Washwood Heath Rd.",""
"226",2011,"Birmingham","William Hill Washwood Heath Rd.",""
"227",2011,"Birmingham","Windward Rd.",""
"228",2011,"Birmingham","Windward Rd.",""
"229",2011,"Birmingham","Wood End Rd.",""
"230",2011,"Birmingham","Woodbridge Rd.",""
"231",2011,"Birmingham","Wright Str.",""
"232",2011,"Birmingham","Yardley Green Rd.",""
"233",2011,"Birmingham","Yardley Rd.",""
"234",2011,"Birmingham","Yardley Wood Rd.",""
"235",2011,"Birmingham","Yardley Wood Rd.",""
"236",2011,"Birmingham","Yew Tree Car Park",""
"237",2011,"Birmingham","Yew Tree Ln.",""
"238",2011,"Birmingham","Yew Tree Public House Car Park ",""
"239",2011,"Birmingham","Armada Pub  Slade Rd.",""
"240",2011,"Birmingham","Armarda Pub   Gravelly Hill",""
"241",2011,"Birmingham","Armarda Pub  Gravelly Hill",""
"242",2011,"Birmingham","Badgers Bank Rd.",""
"243",2011,"Birmingham","Baldmoor Ln.",""
"244",2011,"Birmingham","Bandywood Rd  Kingstanding",""
"245",2011,"Birmingham","Beckenham Rd.",""
"246",2011,"Birmingham","Beeches Walk",""
"247",2011,"Birmingham","Birmingham Rd",""
"248",2011,"Birmingham","Birmingham Rd",""
"249",2011,"Birmingham","Birmingham Rd  Sc",""
"250",2011,"Birmingham","Birmingham Rd.",""
"251",2011,"Birmingham","Birmingham Rd.",""
"252",2011,"Birmingham","Birmingham Rd.",""
"253",2011,"Birmingham","Birmingham Rd.",""
"254",2011,"Birmingham","Birmingham Rd.",""
"255",2011,"Birmingham","Birmingham Rd.",""
"256",2011,"Birmingham","Bowling Green Close",""
"257",2011,"Birmingham","Bracebridge Rd.",""
"258",2011,"Birmingham","Brassington Ave.",""
"259",2011,"Birmingham","Bromford Ln.",""
"260",2011,"Birmingham","Bromford Ln.",""
"261",2011,"Birmingham","Brookvale Park Rd.",""
"262",2011,"Birmingham","Carhampton Rd.",""
"263",2011,"Birmingham","Carshalton Rd.",""
"264",2011,"Birmingham","Carshorlton Rd.",""
"265",2011,"Birmingham","Chester Rd",""
"266",2011,"Birmingham","Chester Rd.",""
"267",2011,"Birmingham","Chester Rd.",""
"268",2011,"Birmingham","Church Rd At Chester Rd",""
"269",2011,"Birmingham","College Rd.",""
"270",2011,"Birmingham","College Rd.",""
"271",2011,"Birmingham","Copshill Court  Mount View  Sutton Coldfield",""
"272",2011,"Birmingham","Dovedale Rd.",""
"273",2011,"Birmingham","Downside Rd.",""
"274",2011,"Birmingham","Eachelhurt Rd.",""
"275",2011,"Birmingham","Erdington Hall Rd.",""
"276",2011,"Birmingham","Erdington Hall Rd.",""
"277",2011,"Birmingham","Erdington High Str.",""
"278",2011,"Birmingham","Fentham Rd.",""
"279",2011,"Birmingham","Finchley Rd.",""
"280",2011,"Birmingham","Finchley Rd.",""
"281",2011,"Birmingham","George Frederick Rd.",""
"282",2011,"Birmingham","Golden Pond Take Away       Boldmere Rd.",""
"283",2011,"Birmingham","Good Hope Hospital",""
"284",2011,"Birmingham","Gracechurch Centre",""
"285",2011,"Birmingham","Gracechurch Centre  Outside Supercigs",""
"286",2011,"Birmingham","Gracechurch Shopping Centre  Sutton Coldfield",""
"287",2011,"Birmingham","Grassed Area   Pype Hayes Park    ",""
"288",2011,"Birmingham","Gravelley Ln.",""
"289",2011,"Birmingham","Gravelley Ln.",""
"290",2011,"Birmingham","Gravelley Ln.",""
"291",2011,"Birmingham","Gravelly Ln.",""
"292",2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield",""
"293",2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield",""
"294",2011,"Birmingham","Hermatige Rd.",""
"295",2011,"Birmingham","Hermatige Rd.",""
"296",2011,"Birmingham","Hermitage Drive",""
"297",2011,"Birmingham","High Str.",""
"298",2011,"Birmingham","High Str.",""
"299",2011,"Birmingham","High Str.",""
"300",2011,"Birmingham","High Str.",""
"301",2011,"Birmingham","High Str.",""
"302",2011,"Birmingham","High Str.",""
"303",2011,"Birmingham","Hight Str.",""
"304",2011,"Birmingham","Hunton Hill",""
"305",2011,"Birmingham","Kfc Retail Outlet   Erdington High Str.",""
"306",2011,"Birmingham","Kingsbury Rd.",""
"307",2011,"Birmingham","Kingstanding Circle",""
"308",2011,"Birmingham","Ln.",""
"309",2011,"Birmingham","Ln.",""
"310",2011,"Birmingham","Lichfield Rd.",""
"311",2011,"Birmingham","Lichfield Rd.",""
"312",2011,"Birmingham","Lindridge Rd.",""
"313",2011,"Birmingham","Little Aston Ln.",""
"314",2011,"Birmingham","Longford Rd.",""
"315",2011,"Birmingham","Longford Rd.",""
"316",2011,"Birmingham","Lower Parade",""
"317",2011,"Birmingham","Lower Parade",""
"318",2011,"Birmingham","Lower Parade",""
"319",2011,"Birmingham","Lower Parade",""
"320",2011,"Birmingham","Lower Parade",""
"321",2011,"Birmingham","Lower Parade",""
"322",2011,"Birmingham","Lower Parade",""
"323",2011,"Birmingham","Lower Parade",""
"324",2011,"Birmingham","Lower Parade",""
"325",2011,"Birmingham","Lower Parade",""
"326",2011,"Birmingham","Lower Parade",""
"327",2011,"Birmingham","Lower Parade",""
"328",2011,"Birmingham","Lower Parade",""
"329",2011,"Birmingham","Lower Parade",""
"330",2011,"Birmingham","Lower Parade",""
"331",2011,"Birmingham","Lower Parade",""
"332",2011,"Birmingham","Lower Parade",""
"333",2011,"Birmingham","Lower Parade",""
"334",2011,"Birmingham","Lower Parade",""
"335",2011,"Birmingham","Lower Parade Sc",""
"336",2011,"Birmingham","Lower Parade Sutton",""
"337",2011,"Birmingham","Lower Parade Sutton Coldfield",""
"338",2011,"Birmingham","Lower Parade ",""
"339",2011,"Birmingham","Lower Parade  Suton Coldfield",""
"340",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"341",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"342",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"343",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"344",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"345",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"346",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"347",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"348",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"349",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"350",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"351",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"352",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"353",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"354",2011,"Birmingham","Lower Parade  Sutton Coldfield",""
"355",2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre",""
"356",2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre",""
"357",2011,"Birmingham","Lower Parade  Sutton Coldfield ",""
"358",2011,"Birmingham","Lydham Close",""
"359",2011,"Birmingham","Mill Str.",""
"360",2011,"Birmingham","Mill Str.",""
"361",2011,"Birmingham","Moor Hall Hotel",""
"362",2011,"Birmingham","Mulberry Court Carpark  Kings Rd.",""
"363",2011,"Birmingham","Newhall Walk Car Park",""
"364",2011,"Birmingham","Newhall Walk Car Park",""
"365",2011,"Birmingham","O S H A",""
"366",2011,"Birmingham","O S Litten Tree",""
"367",2011,"Birmingham","O S Litten Tree  S C Town Centre",""
"368",2011,"Birmingham","O S Moomoo Bar  S C Town Centre",""
"369",2011,"Birmingham","O S Moomoo Bar  South Parade",""
"370",2011,"Birmingham","O S Retro",""
"371",2011,"Birmingham","O S Retro   South Parade",""
"372",2011,"Birmingham","O S Retros",""
"373",2011,"Birmingham","O S Rd.",""
"374",2011,"Birmingham","O S Temple Bar",""
"375",2011,"Birmingham","O S Temple Bar",""
"376",2011,"Birmingham","O S Temple Bar  High Str.",""
"377",2011,"Birmingham","O S Temple Bar  Lower Parade Sutton Coldfield ",""
"378",2011,"Birmingham","O S Temple Bar  S C Town Centre",""
"379",2011,"Birmingham","O S Temple Bar  Sutton Coldfield  West Milands",""
"380",2011,"Birmingham","O S The Hairy Lemon",""
"381",2011,"Birmingham","On Pavement Outside The Rd.",""
"382",2011,"Birmingham","Ourtside Rd.",""
"383",2011,"Birmingham","Outside Glendale Tower  Lyndhurst Estate",""
"384",2011,"Birmingham","Outside Litten Tree Pub  Birmingham Rd.",""
"385",2011,"Birmingham","Outside Moo Moo Club  Town Centre  Sutton Coldfield",""
"386",2011,"Birmingham","Outside Moo Moo Night Club  South Parade",""
"387",2011,"Birmingham","Outside Temple Parade  Lower Parade",""
"388",2011,"Birmingham","Outside The Temple Bar  Lower Parade  Sc",""
"389",2011,"Birmingham","Parade   Sutton Coldfield",""
"390",2011,"Birmingham","Parade Sc",""
"391",2011,"Birmingham","Parade Sutton Coldfield",""
"392",2011,"Birmingham","Parade Sutton Coldfield",""
"393",2011,"Birmingham","Parade Sutton Coldfield",""
"394",2011,"Birmingham","Parade Sutton Town",""
"395",2011,"Birmingham","Parade  Sutton Coldfield",""
"396",2011,"Birmingham","Parade  Sutton Coldfield",""
"397",2011,"Birmingham","Parade  Sutton Town Centre",""
"398",2011,"Birmingham","Parkeston Crescent  Kinsgatnding  B Ham",""
"399",2011,"Birmingham","Plants Grove Erdington",""
"400",2011,"Birmingham","Pype Hayes Rd.",""
"401",2011,"Birmingham","Pype Hayes Rd.",""
"402",2011,"Birmingham","Pype Hayes Rd.",""
"403",2011,"Birmingham","Queen Str.",""
"404",2011,"Birmingham","Queen Str.",""
"405",2011,"Birmingham","Queen Str.",""
"406",2011,"Birmingham","Queen Str.",""
"407",2011,"Birmingham","Queen Str.",""
"408",2011,"Birmingham","Queslett Rd.",""
"409",2011,"Birmingham","Redacre Rd Boldmere",""
"410",2011,"Birmingham","Reservoir Rd.",""
"411",2011,"Birmingham","Ridgeway",""
"412",2011,"Birmingham","Slade Rd.",""
"413",2011,"Birmingham","Slade Rd.",""
"414",2011,"Birmingham","Soth Parade  Sutton Coldfield",""
"415",2011,"Birmingham","Soth Parade  Sutton Coldfield",""
"416",2011,"Birmingham","South Parade",""
"417",2011,"Birmingham","South Parade",""
"418",2011,"Birmingham","South Parade",""
"419",2011,"Birmingham","South Parade",""
"420",2011,"Birmingham","South Parade",""
"421",2011,"Birmingham","South Parade",""
"422",2011,"Birmingham","South Parade",""
"423",2011,"Birmingham","South Parade",""
"424",2011,"Birmingham","South Parade",""
"425",2011,"Birmingham","South Parade",""
"426",2011,"Birmingham","South Parade",""
"427",2011,"Birmingham","South Parade",""
"428",2011,"Birmingham","South Parade       Town Centre  Sutton Coldfield",""
"429",2011,"Birmingham","South Parade Sutton Coldfield",""
"430",2011,"Birmingham","South Parade Sutton Coldfield",""
"431",2011,"Birmingham","South Parade Sutton Town Centre",""
"432",2011,"Birmingham","South Parade  Sutton Coldfield",""
"433",2011,"Birmingham","South Parade  Sutton Coldfield",""
"434",2011,"Birmingham","South Parade  Sutton Coldfield",""
"435",2011,"Birmingham","South Parade  Sutton Coldfield",""
"436",2011,"Birmingham","South Parade  Sutton Coldfield",""
"437",2011,"Birmingham","South Parade  Sutton Coldfield",""
"438",2011,"Birmingham","South Parade  Sutton Coldfield",""
"439",2011,"Birmingham","South Parade  Sutton Coldfield",""
"440",2011,"Birmingham","South Parade  Sutton Coldfield",""
"441",2011,"Birmingham","South Parade  Sutton Coldfield",""
"442",2011,"Birmingham","South Parade  Sutton Coldfield",""
"443",2011,"Birmingham","South Parade  Sutton Town Centre",""
"444",2011,"Birmingham","South Parade  Town Centre  Sutton Coldfield",""
"445",2011,"Birmingham","Str.",""
"446",2011,"Birmingham","Str.",""
"447",2011,"Birmingham","Sumburgh Croft",""
"448",2011,"Birmingham","Sutton Coldfield Town Centre",""
"449",2011,"Birmingham","Sutton Coldfield Town Centre",""
"450",2011,"Birmingham","Sutton New Rd.",""
"451",2011,"Birmingham","Sutton New Rd.",""
"452",2011,"Birmingham","Sutton New Rd.",""
"453",2011,"Birmingham","Sutton New Rd.",""
"454",2011,"Birmingham","Sutton New Rd.",""
"455",2011,"Birmingham","Sutton Parade",""
"456",2011,"Birmingham","Sutton Parade",""
"457",2011,"Birmingham","Sutton Parade",""
"458",2011,"Birmingham","Sutton Town Centre",""
"459",2011,"Birmingham","Sutton Town Centre",""
"460",2011,"Birmingham","Sutton Town Centre",""
"461",2011,"Birmingham","Sutton Town Centre",""
"462",2011,"Birmingham","Sutton Town Centre",""
"463",2011,"Birmingham","Tedbury Crescent",""
"464",2011,"Birmingham","Tesco S Express  Walsall Rd.",""
"465",2011,"Birmingham","The Parade",""
"466",2011,"Birmingham","The Parade",""
"467",2011,"Birmingham","The Parade",""
"468",2011,"Birmingham","The Parade Sutton",""
"469",2011,"Birmingham","The Parade Sutton Coldfield",""
"470",2011,"Birmingham","The Parade  Birmingham Rd.",""
"471",2011,"Birmingham","The Parade  Sutton Coldfield",""
"472",2011,"Birmingham","The Parade  Sutton Coldfield",""
"473",2011,"Birmingham","The Parade  Sutton Coldfield",""
"474",2011,"Birmingham","The Parade  Sutton Coldfield",""
"475",2011,"Birmingham","The Parade  Sutton Coldfield",""
"476",2011,"Birmingham","The Parade  Sutton Coldfield",""
"477",2011,"Birmingham","The Parade  Sutton Town Centre",""
"478",2011,"Birmingham","The Parade    ",""
"479",2011,"Birmingham","The Ridgeway",""
"480",2011,"Birmingham","The Ridgeway",""
"481",2011,"Birmingham","The Ridgeway",""
"482",2011,"Birmingham","The Swan Ph",""
"483",2011,"Birmingham","Turnhouse Rd.",""
"484",2011,"Birmingham","Upper Holland Rd.",""
"485",2011,"Birmingham","Victoria Rd",""
"486",2011,"Birmingham","Victoria Rd",""
"487",2011,"Birmingham","Victoria Rd",""
"488",2011,"Birmingham","Walsh Drive  Walmley  Sutton Coldfield",""
"489",2011,"Birmingham","Warren Farm Rd",""
"490",2011,"Birmingham","Warren Farm Rd.",""
"491",2011,"Birmingham","Whitehouse Common Rd",""
"492",2011,"Birmingham","Wilton Rd",""
"493",2011,"Birmingham","Windsor House  Jarvis Rd.",""
"494",2011,"Birmingham","Witton Lodge Rd.",""
"495",2011,"Birmingham","Witton Lodge Rd.",""
"496",2011,"Birmingham","York Rd.",""
"497",2011,"Birmingham","Abdon Ave.",""
"498",2011,"Birmingham","Alcester Rd.",""
"499",2011,"Birmingham","Alvechurch Rd",""
"500",2011,"Birmingham","Arden Rd.",""
"501",2011,"Birmingham","Ardencote Froad",""
"502",2011,"Birmingham","Ashley Close",""
"503",2011,"Birmingham","Balti Spice Bristol Rd South",""
"504",2011,"Birmingham","Barnes Hill",""
"505",2011,"Birmingham","Barrow House",""
"506",2011,"Birmingham","Bell Str.",""
"507",2011,"Birmingham","Birmingham New Str.",""
"508",2011,"Birmingham","Birmingham New Str.",""
"509",2011,"Birmingham","Birmingham New Str.",""
"510",2011,"Birmingham","Birmingham Str.",""
"511",2011,"Birmingham","Blandford Rd.",""
"512",2011,"Birmingham","Bournbrook Rd.",""
"513",2011,"Birmingham","Bournville Front Office",""
"514",2011,"Birmingham","Bournville Front Office",""
"515",2011,"Birmingham","Bournville Ln.",""
"516",2011,"Birmingham","Bournville Ln.",""
"517",2011,"Birmingham","Bournville Ln.",""
"518",2011,"Birmingham","Bowling Green Rd.",""
"519",2011,"Birmingham","Bristol Rd",""
"520",2011,"Birmingham","Bristol Rd",""
"521",2011,"Birmingham","Bristol Rd",""
"522",2011,"Birmingham","Bristol Rd",""
"523",2011,"Birmingham","Bristol Rd Selly Oak",""
"524",2011,"Birmingham","Bristol Rd South",""
"525",2011,"Birmingham","Bristol Rd South",""
"526",2011,"Birmingham","Bristol Rd Str.",""
"527",2011,"Birmingham","Bristol Rd  Northfield",""
"528",2011,"Birmingham","Bristol Rd  Selly Oak",""
"529",2011,"Birmingham","Bristol Rd.",""
"530",2011,"Birmingham","Bristol Rd.",""
"531",2011,"Birmingham","Bristol Rd.",""
"532",2011,"Birmingham","Bristol Rd.",""
"533",2011,"Birmingham","Bristol Rd.",""
"534",2011,"Birmingham","Bristol Rd.",""
"535",2011,"Birmingham","Bristol Rd.",""
"536",2011,"Birmingham","Bristol Rd.",""
"537",2011,"Birmingham","Bristol Rd.",""
"538",2011,"Birmingham","Bristol Rd.",""
"539",2011,"Birmingham","Bristol Rd.",""
"540",2011,"Birmingham","Bristol Rd.",""
"541",2011,"Birmingham","Bristol Rd.",""
"542",2011,"Birmingham","Bristol Rd.",""
"543",2011,"Birmingham","Bristol Rd.",""
"544",2011,"Birmingham","Bristol Rd.",""
"545",2011,"Birmingham","Bristol Rd.",""
"546",2011,"Birmingham","Bristol Rd.",""
